,Country,Region,Market,Product,Date,Open,High,Low,Close,Currency
,Kenya,North Eastern,Mandera,maize,2024-03-01,94.8,97.24,92.35,95.02,KES
,Kenya,Eastern,Wote town (Makueni),beans,2024-03-01,149.8,154.28,145.31,153.75,KES
,Kenya,Eastern,Makueni,beans,2024-03-01,150.6,155.09,146.11,153.75,KES
,Kenya,Eastern,Kathonzweni (Makueni),beans,2024-03-01,150.79,155.32,146.27,153.92,KES
,Kenya,Eastern,Tala Centre Market (Machakos),beans,2024-03-01,152,156.82,147.18,154.63,KES
,Kenya,Eastern,Kitui,beans,2024-03-01,152.68,157.81,147.55,153.43,KES
,Kenya,Eastern,Kitui town (Kitui),beans,2024-03-01,152.74,156.5,148.98,153.65,KES
,Kenya,Central,Karatina (Nyeri),beans,2024-03-01,155.85,160.78,150.93,156.72,KES
,Kenya,Nairobi,Mukuru (Nairobi),beans,2024-03-01,156.57,161.71,151.44,157.4,KES
,Kenya,Nairobi,Kitengela (Kajiado),beans,2024-03-01,156.62,161.77,151.48,157.55,KES
,Kenya,Nairobi,Dandora (Nairobi),beans,2024-03-01,156.73,161.15,152.32,157.17,KES
,Kenya,Nairobi,Wakulima (Nairobi),beans,2024-03-01,156.95,161.79,152.12,157.55,KES
,Kenya,Nairobi,Nairobi,beans,2024-03-01,157.46,162.45,152.47,157.79,KES
,Kenya,Nairobi,Mathare (Nairobi),beans,2024-03-01,157.66,163.18,152.14,157.46,KES
,Kenya,Nairobi,Kibra (Nairobi),beans,2024-03-01,157.81,162.65,152.97,158.24,KES
,Kenya,Nairobi,Kawangware (Nairobi),beans,2024-03-01,158.26,163.61,152.92,158.63,KES
,Kenya,Nairobi,Kangemi (Nairobi),beans,2024-03-01,158.3,163.63,152.96,158.61,KES
,Kenya,Eastern,Isiolo town,beans,2024-03-01,158.39,163.72,153.06,159.35,KES
,Kenya,Eastern,Kaanwa (Tharaka Nithi),beans,2024-03-01,159.49,164.05,154.94,160.5,KES
,Kenya,Rift Valley,Kajiado,beans,2024-03-01,161.11,166.94,155.28,161.47,KES
,Kenya,Rift Valley,Illbissil Food Market (Kajiado),beans,2024-03-01,162.2,167.24,157.16,162.87,KES
,Kenya,Coast,Vanga (Kwale),beans,2024-03-01,163.16,167.55,158.76,163.13,KES
,Kenya,Coast,Moroto (Mombasa),beans,2024-03-01,165.35,170.68,160.03,166.73,KES
,Kenya,Coast,Kalahari (Mombasa),beans,2024-03-01,166.02,170.47,161.56,166.53,KES
,Kenya,Rift Valley,Wakulima (Nakuru),beans,2024-03-01,166.22,171.58,160.86,167.74,KES
,Kenya,Coast,Kongowea (Mombasa),beans,2024-03-01,166.31,171.08,161.54,166.77,KES
,Kenya,Coast,Shonda (Mombasa),beans,2024-03-01,166.31,171.3,161.33,166.61,KES
,Kenya,Coast,Mombasa,beans,2024-03-01,166.49,171.27,161.71,166.8,KES
,Kenya,Coast,Kisumu Ndogo (Mombasa),beans,2024-03-01,166.52,171.55,161.5,167.02,KES
,Kenya,Rift Valley,Nakuru,beans,2024-03-01,167.04,172.43,161.65,168.59,KES
,Kenya,Coast,Bangladesh (Mombasa),beans,2024-03-01,167.08,172.64,161.53,166.56,KES
,Kenya,Coast,Junda (Mombasa),beans,2024-03-01,167.54,172.77,162.31,166.91,KES
,Kenya,Coast,Kilifi,beans,2024-03-01,168.85,173.94,163.76,169.78,KES
,Kenya,Market Average,Market Average,beans,2024-03-01,168.93,174.44,163.41,169.86,KES
,Kenya,Nyanza,Kisumu,beans,2024-03-01,172,177.91,166.09,174.19,KES
,Kenya,Nyanza,Kibuye (Kisumu),beans,2024-03-01,172.11,177.86,166.35,173.61,KES
,Kenya,Rift Valley,Kakuma 3,beans,2024-03-01,173.86,179.86,167.86,176.43,KES
,Kenya,Rift Valley,Mogadishu (Kakuma),beans,2024-03-01,173.94,181.08,166.81,176.41,KES
,Kenya,Rift Valley,Kakuma 2,beans,2024-03-01,174,182.13,165.88,175.99,KES
,Kenya,Rift Valley,Kalobeyei (Village 1),beans,2024-03-01,174.12,181.21,167.03,176.03,KES
,Kenya,Rift Valley,Kalobeyei (Village 3),beans,2024-03-01,174.2,181.49,166.92,176.34,KES
,Kenya,Rift Valley,Marigat town (Baringo),beans,2024-03-01,174.81,181.05,168.57,176.02,KES
,Kenya,Rift Valley,Marigat (Baringo),beans,2024-03-01,175.04,183.05,167.04,176.39,KES
,Kenya,Rift Valley,Ethiopia (Kakuma),beans,2024-03-01,175.49,182.36,168.62,176.44,KES
,Kenya,Rift Valley,Kalobeyei (Village 2),beans,2024-03-01,175.79,182.41,169.16,177.51,KES
,Kenya,Rift Valley,Kakuma 4,beans,2024-03-01,175.85,183.4,168.31,177.05,KES
,Kenya,Rift Valley,Lomut (West Pokot),beans,2024-03-01,176.05,182.07,170.03,177.74,KES
,Kenya,Rift Valley,HongKong (Kakuma),beans,2024-03-01,176.68,183.5,169.85,177.7,KES
,Kenya,Rift Valley,Lodwar (Turkana),beans,2024-03-01,176.69,183.06,170.31,178.36,KES
,Kenya,Rift Valley,Lodwar town,beans,2024-03-01,176.76,183.9,169.62,178.35,KES
,Kenya,Coast,Hola (Tana River),beans,2024-03-01,176.8,180.65,172.95,177.03,KES
,Kenya,Rift Valley,Makutano (West Pokot),beans,2024-03-01,177.58,183.82,171.34,179.07,KES
,Kenya,North Eastern,Mandera,beans,2024-03-01,178.73,182.68,174.79,178.81,KES
,Kenya,North Eastern,Takaba (Mandera),beans,2024-03-01,179.61,183.43,175.78,179.73,KES
,Kenya,Rift Valley,Eldoret town (Uasin Gishu),beans,2024-03-01,180.3,186.22,174.37,181.56,KES
,Kenya,Eastern,Marsabit,beans,2024-03-01,180.31,186.1,174.53,181.5,KES
,Kenya,North Eastern,Wajir town,beans,2024-03-01,180.51,184.81,176.22,180.76,KES
,Kenya,Eastern,Marsabit town,beans,2024-03-01,180.75,186.94,174.55,181.56,KES
,Kenya,North Eastern,Garissa town (Garissa),beans,2024-03-01,183.69,188.28,179.11,183.93,KES
,Kenya,North Eastern,Garissa,beans,2024-03-01,183.91,188.32,179.49,183.97,KES
,Kenya,North Eastern,Hagadera (Daadab),beans,2024-03-01,187.4,192.82,181.97,186.01,KES
,Kenya,North Eastern,IFO (Daadab),beans,2024-03-01,188.81,195.36,182.25,187.21,KES
,Kenya,North Eastern,Dagahaley (Daadab),beans,2024-03-01,188.9,197.28,180.51,188.22,KES
,Kenya,North Eastern,Dadaab town,beans,2024-03-01,189.77,194.61,184.93,189.55,KES
,Kenya,Nairobi,Kibra (Nairobi),oil,2024-03-01,203.82,210.83,196.81,205.44,KES
,Kenya,Nairobi,Wakulima (Nairobi),oil,2024-03-01,203.97,211.09,196.86,206.25,KES
